id,Churn
594194,0.06657275
594195,0.0014323326
594196,0.08096921
594197,0.0015192407
594198,0.39289528
594199,0.19188614
594200,0.8583722
594201,0.0007029099
594202,0.03617682
594203,0.3461121
594204,0.0052141394
594205,0.031399496
594206,0.2657471
594207,0.75566345
594208,0.0018036936
594209,0.02257296
594210,0.47982162
594211,0.0039034474
594212,0.9606051
594213,0.2640263
594214,0.001098235
594215,0.6816147
594216,0.0031932844
594217,0.9593446
594218,0.060742155
594219,0.28469375
594220,0.0025273014
594221,0.009157569
594222,0.00073373993
594223,0.90349084
594224,0.0008545109
594225,0.014753519
594226,0.9817213
594227,0.117494114
594228,0.16619185
594229,0.008178537
594230,0.00085022656
594231,0.17968541
594232,0.01642468
594233,0.9769571
594234,0.6820939
594235,0.44090873
594236,0.9088874
594237,0.16208705
594238,0.05224318
594239,0.88513887
594240,0.43891415
594241,0.8064955
594242,0.6154874
594243,0.004314477
594244,0.040075716
594245,0.16098516
594246,0.57154924
594247,0.61357886
594248,0.23153792
594249,0.23989047
594250,0.0010481012
594251,0.88055694
594252,0.82621384
594253,0.001101053
594254,0.29406396
594255,0.50168055
594256,0.0016895874
594257,0.1652302
594258,0.05953064
594259,0.001144505
594260,0.94346917
594261,0.06336589
594262,0.8035497
594263,0.030219087
594264,0.61917555
594265,0.005634084
594266,0.112053834
594267,0.0023793287
594268,0.00058548164
594269,0.16218533
594270,0.040374666
594271,0.49062625
594272,0.014973661
594273,0.32588398
594274,0.0057513807
594275,0.1251019
594276,0.15064406
594277,0.023784123
594278,0.6343326
594279,0.9728818
594280,0.3948588
594281,0.0033045497
594282,0.78072876
594283,0.25082725
594284,0.0022640128
594285,0.089554995
594286,0.7829254
594287,0.0029269713
594288,0.008264193
594289,0.00086633547
594290,0.0008206461
594291,0.0025722662
594292,0.0613817
594293,0.79725784
594294,0.114545316
594295,0.32708374
594296,0.24359259
594297,0.020713221
594298,0.0011175462
594299,0.07760907
594300,0.2389053
594301,0.1609026
594302,0.46565992
594303,0.05399555
594304,0.6385853
594305,0.08182442
594306,0.040045965
594307,0.0016821591
594308,0.16465677
594309,0.60783964
594310,0.93224674
594311,0.0009547886
594312,0.024378536
594313,0.0010520077
594314,0.08575951
594315,0.8804922
594316,0.0010780041
594317,0.14325924
594318,0.0013482184
594319,0.0010117051
594320,0.60215545
594321,0.0056881127
594322,0.069219254
594323,0.006440564
594324,0.11741644
594325,0.0052340827
594326,0.015065905
594327,0.78646207
594328,0.26124978
594329,0.18266799
594330,0.0016224163
594331,0.72445303
594332,0.0059002717
594333,0.4985581
594334,0.0036264083
594335,0.24996918
594336,0.0008863304
594337,0.016495755
594338,0.0014823271
594339,0.49749097
594340,0.09825492
594341,0.0015967155
594342,0.2594734
594343,0.20372388
594344,0.08439991
594345,0.4967731
594346,0.00063303614
594347,0.005820826
594348,0.00094697374
594349,0.17089894
594350,0.35556322
594351,0.0006117524
594352,0.0063527497
594353,0.0026861874
594354,0.011305985
594355,0.0014953207
594356,0.15410088
594357,0.0015006813
594358,0.066896185
594359,0.0019177584
594360,0.10766859
594361,0.001117921
594362,0.0035786103
594363,0.01333972
594364,0.30811247
594365,0.010030337
594366,0.20430464
594367,0.4335989
594368,0.0026712231
594369,0.4398645
594370,0.0013060215
594371,0.3300814
594372,0.21805744
594373,0.1399479
594374,0.026282743
594375,0.13732456
594376,0.018371783
594377,0.010522709
594378,0.069108
594379,0.0010608339
594380,0.45427385
594381,0.38485265
594382,0.36664802
594383,0.0010009606
594384,0.28336927
594385,0.021686418
594386,0.4402616
594387,0.00077136676
594388,0.8358882
594389,0.24627769
594390,0.00085552275
594391,0.5962177
594392,0.17407341
594393,0.44442967
594394,0.22040533
594395,0.017146943
594396,0.36137733
594397,0.016596321
594398,0.5672174
594399,0.39676487
594400,0.23111063
594401,0.96846116
594402,0.0145423645
594403,0.07542046
594404,0.014049505
594405,0.7648423
594406,0.05310034
594407,0.010212341
594408,0.47475094
594409,0.020929096
594410,0.0023622315
594411,0.67337877
594412,0.5275004
594413,0.005770488
594414,0.0026750392
594415,0.0008223977
594416,0.7029646
594417,0.0014275217
594418,0.002257727
594419,0.0023777788
594420,0.0030335763
594421,0.7605551
594422,0.06640418
594423,0.03455577
594424,0.014062821
594425,0.00086586137
594426,0.0025097083
594427,0.8371347
594428,0.0022176364
594429,0.004755256
594430,0.013518896
594431,0.25278997
594432,0.004366738
594433,0.7100235
594434,0.002127779
594435,0.15602195
594436,0.28855222
594437,0.00274927
594438,0.0026431633
594439,0.022066139
594440,0.0016063146
594441,0.0015567956
594442,0.014166958
594443,0.008631916
594444,0.589246
594445,0.41740486
594446,0.00090018637
594447,0.5914298
594448,0.3226483
594449,0.025484845
594450,0.05272341
594451,0.099423066
594452,0.13296007
594453,0.0012345826
594454,0.03135648
594455,0.6340335
594456,0.6106634
594457,0.005100053
594458,0.32413617
594459,0.0025972829
594460,0.03765433
594461,0.013667508
594462,0.13465318
594463,0.0056644697
594464,0.09299367
594465,0.02951516
594466,0.25965005
594467,0.0024078784
594468,0.004348503
594469,0.0032990165
594470,0.38399202
594471,0.001812752
594472,0.6177929
594473,0.03261632
594474,0.2945236
594475,0.09796925
594476,0.80020696
594477,0.0063149007
594478,0.3426405
594479,0.62261325
594480,0.38997084
594481,0.17571808
594482,0.0076204315
594483,0.010828384
594484,0.66559666
594485,0.005541788
594486,0.06541428
594487,0.0039198305
594488,0.008983896
594489,0.39047605
594490,0.017974263
594491,0.0016612934
594492,0.58622277
594493,0.5796794
594494,0.7284022
594495,0.6475297
594496,0.15895045
594497,0.018057382
594498,0.3355973
594499,0.009655797
594500,0.26915848
594501,0.09519797
594502,0.00082432426
594503,0.0012421411
594504,0.001970374
594505,0.23384751
594506,0.4951442
594507,0.37306577
594508,0.18614765
594509,0.32641792
594510,0.0015944176
594511,0.0060551967
594512,0.22891124
594513,0.14271118
594514,0.043879926
594515,0.47095156
594516,0.0010790089
594517,0.10409
594518,0.0010793319
594519,0.00924685
594520,0.057846375
594521,0.0008614993
594522,0.27683827
594523,0.0007557948
594524,0.55100363
594525,0.029024346
594526,0.53458
594527,0.2270107
594528,0.0022758662
594529,0.23342107
594530,0.0070746564
594531,0.12187558
594532,0.8357135
594533,0.65531635
594534,0.17328912
594535,0.0007252406
594536,0.75326395
594537,0.5596183
594538,0.41094497
594539,0.7235371
594540,0.70142275
594541,0.5600673
594542,0.0056650145
594543,0.54730177
594544,0.18846495
594545,0.0094046565
594546,0.0010342514
594547,0.0007193773
594548,0.0034155305
594549,0.005901995
594550,0.010091535
594551,0.029111443
594552,0.002339379
594553,0.20049822
594554,0.551445
594555,0.004598984
594556,0.8166524
594557,0.008329068
594558,0.08523086
594559,0.20938446
594560,0.00058652414
594561,0.0010771685
594562,0.077857085
594563,0.17673594
594564,0.003116288
594565,0.18837382
594566,0.22452892
594567,0.92602146
594568,0.2864382
594569,0.0028388614
594570,0.22251296
594571,0.0011392051
594572,0.0012095119
594573,0.0012937068
594574,0.0041048736
594575,0.0030392492
594576,0.36770034
594577,0.013096293
594578,0.012568866
594579,0.75003517
594580,0.0017807378
594581,0.44479266
594582,0.16545878
594583,0.24933836
594584,0.19252053
594585,0.0020378684
594586,0.94377476
594587,0.29903
594588,0.0059407367
594589,0.8989846
594590,0.2046099
594591,0.8534522
594592,0.96256846
594593,0.6083427
594594,0.002182812
594595,0.0587318
594596,0.0020847744
594597,0.0020106386
594598,0.0008456393
594599,0.017807133
594600,0.5236652
594601,0.0014770095
594602,0.7837811
594603,0.11220009
594604,0.6514769
594605,0.0020544503
594606,0.21065302
594607,0.17086615
594608,0.024181047
594609,0.82920283
594610,0.56955403
594611,0.3756171
594612,0.016748605
594613,0.011511058
594614,0.0060557825
594615,0.07985258
594616,0.005941979
594617,0.50791705
594618,0.0010424888
594619,0.015105694
594620,0.028622612
594621,0.13292363
594622,0.051891897
594623,0.0012316692
594624,0.0037222356
594625,0.20295149
594626,0.268022
594627,0.020793634
594628,0.005858994
594629,0.034572605
594630,0.007952351
594631,0.013597811
594632,0.63005304
594633,0.046759825
594634,0.0019940615
594635,0.030141823
594636,0.0015786394
594637,0.51546186
594638,0.70217186
594639,0.0023927095
594640,0.013328164
594641,0.49839923
594642,0.02442045
594643,0.32560465
594644,0.065905206
594645,0.5527436
594646,0.0015371068
594647,0.14335962
594648,0.8737653
594649,0.74989116
594650,0.20644507
594651,0.8209109
594652,0.022432707
594653,0.0016405329
594654,0.54238826
594655,0.5039895
594656,0.00033347993
594657,0.003952198
594658,0.0017516945
594659,0.029237436
594660,0.091460764
594661,0.5194067
594662,0.0012466237
594663,0.94623405
594664,0.049659736
594665,0.8483563
594666,0.7565659
594667,0.0053391494
594668,0.005083019
594669,0.0038549663
594670,0.2853867
594671,0.89864045
594672,0.016632743
594673,0.27059257
594674,0.76588523
594675,0.45960638
594676,0.0020253768
594677,0.0056732963
594678,0.008543761
594679,0.043667648
594680,0.037738584
594681,0.0009876597
594682,0.5266077
594683,0.009261347
594684,0.6225926
594685,0.43226945
594686,0.6529758
594687,0.0009067839
594688,0.0021245617
594689,0.255763
594690,0.0490472
594691,0.008334111
594692,0.026086658
594693,0.1978683
594694,0.0012046713
594695,0.001369885
594696,0.78243107
594697,0.6431722
594698,0.21196006
594699,0.055112313
594700,0.008117146
594701,0.27574325
594702,0.0011989967
594703,0.17759578
594704,0.18620805
594705,0.14040922
594706,0.0072634825
594707,0.4178425
594708,0.7117143
594709,0.056351
594710,0.0011044224
594711,0.0028871105
594712,0.5304706
594713,0.9714068
594714,0.041360985
594715,0.008554124
594716,0.015688393
594717,0.0037465277
594718,0.003569649
594719,0.001678507
594720,0.02268514
594721,0.0012730567
594722,0.0039675203
594723,0.14014043
594724,0.0016074353
594725,0.6592984
594726,0.116447985
594727,0.00096425036
594728,0.95739555
594729,0.0016262379
594730,0.86713845
594731,0.14388548
594732,0.0027731536
594733,0.0035297459
594734,0.001359685
594735,0.55454093
594736,0.00084317
594737,0.5507582
594738,0.12919174
594739,0.009070141
594740,0.51639867
594741,0.17108868
594742,0.5766155
594743,0.14882675
594744,0.049496334
594745,0.0009339614
594746,0.24708335
594747,0.5992793
594748,0.074969895
594749,0.097875826
594750,0.037493445
594751,0.53211445
594752,0.09498983
594753,0.00084705505
594754,0.25615752
594755,0.6624252
594756,0.09681246
594757,0.0009362681
594758,0.0028207302
594759,0.2880608
594760,0.32270592
594761,0.889219
594762,0.0079628425
594763,0.0074303527
594764,0.1144886
594765,0.005120881
594766,0.21671006
594767,0.08802021
594768,0.3681208
594769,0.005941207
594770,0.0008812979
594771,0.00080608175
594772,0.044368915
594773,0.24388722
594774,0.52171814
594775,0.007684277
594776,0.4341004
594777,0.24799569
594778,0.030839661
594779,0.5049828
594780,0.06907987
594781,0.0010966476
594782,0.0017026836
594783,0.0014493507
594784,0.00070590526
594785,0.8979458
594786,0.32289046
594787,0.10818744
594788,0.060515575
594789,0.35949656
594790,0.009443371
594791,0.0058093523
594792,0.04647567
594793,0.08502846
594794,0.006678813
594795,0.11860332
594796,0.002967911
594797,0.038266886
594798,0.62531406
594799,0.0010692573
594800,0.008553242
594801,0.1159136
594802,0.0022424872
594803,0.34824616
594804,0.06334142
594805,0.68363756
594806,0.26658297
594807,0.44400772
594808,0.066605225
594809,0.3186429
594810,0.0014300613
594811,0.15502758
594812,0.01113969
594813,0.04805534
594814,0.005627484
594815,0.013654863
594816,0.0026412634
594817,0.19605269
594818,0.5217065
594819,0.002647141
594820,0.1329502
594821,0.0754369
594822,0.0027725275
594823,0.0020073422
594824,0.21465391
594825,0.010968202
594826,0.023427993
594827,0.0010647248
594828,0.0022723544
594829,0.005464429
594830,0.0023898669
594831,0.08874272
594832,0.46682662
594833,0.25821152
594834,0.59863013
594835,0.0010645909
594836,0.00075972057
594837,0.0027433748
594838,0.0068187243
594839,0.95161897
594840,0.60517424
594841,0.100436926
594842,0.08397856
594843,0.071047075
594844,0.6821006
594845,0.018619265
594846,0.4535605
594847,0.23428535
594848,0.0012056815
594849,0.18836074
594850,0.06320607
594851,0.2234475
594852,0.5473955
594853,0.0024195737
594854,0.8437909
594855,0.1951726
594856,0.7616366
594857,0.11585927
594858,0.0013208173
594859,0.050591435
594860,0.0005431711
594861,0.64525384
594862,0.028358674
594863,0.015895065
594864,0.003663272
594865,0.10851572
594866,0.19927521
594867,0.05634258
594868,0.8552282
594869,0.008408337
594870,0.17669587
594871,0.07362476
594872,0.0011095718
594873,0.0012427523
594874,0.7797618
594875,0.8226177
594876,0.023219207
594877,0.5762062
